+0.00000 +0.00000 +0.00000 +0.00000 +0.00000 +0.00000 +1.00000 
+291.73135 +327.80167 +696.89142 +92.08295 +391.52829 +416.18567 +1.00000 
+292.88724 +381.36209 -669.82837 +124.14082 -436.08447 +382.97165 +1.00000 
+215.37566 -709.17053 -27.06315 +583.77405 +44.55561 +0.85016 +1.00000 
+60.32423 +278.13730 +317.99548 +320.60236 +733.09186 +419.07339 +1.00000 
+10.64073 -133.31955 -125.79082 +417.59595 +788.02753 +371.76331 +1.00000 
+226.07930 -376.41144 -614.26428 +156.67686 +511.36063 +417.24365 +1.00000 
+263.80243 -362.28564 -659.20392 +124.38370 +452.64957 +411.81369 +1.00000 
+488.79718 +434.07013 +648.10748 +96.36761 +287.77179 +214.83516 +1.00000 
+256.81183 -601.58142 +442.81845 +352.30099 -518.65088 +190.88702 +1.00000 
+430.80887 +125.94178 -787.61755 +9.20439 -115.12525 +359.98645 +1.00000 
+583.92261 +710.35211 -9.45784 +216.03894 -5.75281 +0.03830 +1.00000 
+156.65688 +456.22647 -441.58096 +332.16318 -643.00055 +311.17966 +1.00000 
+10.23703 -140.22478 +112.58920 +480.19241 -771.11169 +309.57031 +1.00000 
+214.46970 -708.52606 +17.45544 +585.17493 -28.83306 +0.35517 +1.00000 
+319.54117 -396.26889 +676.07410 +122.85509 -419.20596 +357.60352 +1.00000 
